partition_payload,variant,size,sha256
cis,en,23552,70a587437182018af328c50fdb7d94663311857bbc14e849cb21c08913584e70
cis,vi,23552,70a587437182018af328c50fdb7d94663311857bbc14e849cb21c08913584e70
cis.2,en,512,5fedff9f36704ec2f51771adc4d5b6ff5d244a24afcfd34548d658579f129be4
cis.2,vi,512,5fedff9f36704ec2f51771adc4d5b6ff5d244a24afcfd34548d658579f129be4
ipl,en,24960,78d4ba339b4ba5f892e9a3d5ade44a9125932188acd5e73d093fadba365a2e2e
ipl,vi,24960,78d4ba339b4ba5f892e9a3d5ade44a9125932188acd5e73d093fadba365a2e2e
ipl_cust,en,24240,6f892733ff63d4493b8465bfe6a044043ebde25d8f79ba2af1d4aceb5ffb8a6e
ipl_cust,vi,24240,6f892733ff63d4493b8465bfe6a044043ebde25d8f79ba2af1d4aceb5ffb8a6e
uboot,en,297540,7c64be8cb848af856a9f107139ee90765be4c3c3bdcd4eb49563839b57304490
uboot,vi,297540,0e1e13409beaf77e680f5c9c5221ab21d796164dc926715e649ac52457102fd9
kernel,en,2255135,c1fa8f7363615f1dc7d91f3308608d336fee6d89f5dcfe48e826bf4a399f5030
kernel,vi,2255137,8261589e10474885277d59fea0a2ad02e079a5b94661a2f4f8f869be29364314
rootfs,en,8658283,1dcc3e954910661af2bb36ae6bc53433e378e9b496eaa20717bb7479b4bd3f2b
rootfs,vi,8655223,f90f109a29711ad926e8d302df083ef4eb24876bd2c4183c2b5a6f0c16ab6edc
miservice,en,1650688,358c01a9e9455a8d0b43587eff8eea754b4df3a538d2974cf8ff714191a16db7
miservice,vi,1650688,db3327bdc33b5b6ac49cf02ad179bc784cec811f6449112117eb9f8d176e84d9
customer,en,39743488,b4dabc4d789c758d94313208d57dbec279d394c4d91b6935542242a8b515dd8f
customer,vi,39743488,7325f9fffa461596273ae30995b4e69d80d380da5aa1cbea0f874e904b599c93
misc,en,2097152,c9bbb3850500aae6312bd9bb79bed093d2ded7b9019c76ef2910434e2d6914f8
misc,vi,2097152,b1aafe49adce7d531b14e90b5ff79053d7d4dc36519660b803c5a2c1537d3be8
oneed_cust,en,3555328,f982f15e2d18dc2549ee53617a45c44ea1764c5b84debee634bb75b8edd92a87
oneed_cust,vi,3301376,69bebcf4301bc778e3088dd639dc5b84766436900859c48f0ea2b80af6782915
